Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
aaeA,0.92,0.57,0.64,0.55,0.69,0.58,0.67,0.44,0.52,14.06
aaeB,0.87,0.67,0.66,0.71,0.63,0.66,0.65,0.5,0.47,28.5
aaeR,0.95,0.56,0.6,0.64,0.74,0.72,0.64,0.45,0.49,14.84
aaeX,0.99,0.65,0.74,0.87,0.69,0.71,0.59,0.75,0.86,2.75
aas,0.92,0.51,0.73,0.66,0.68,0.67,0.68,0.5,0.59,32.13
aat,0.97,0.54,0.67,0.6,0.7,0.6,0.66,0.59,0.54,11.19
abgA,0.92,0.53,0.63,0.61,0.66,0.62,0.59,0.38,0.43,16.75
abgB,0.88,0.43,0.26,0.26,0.49,0.5,0.63,0.67,0.27,21.07
abgR,0.84,0.67,0.78,0.88,0.71,0.69,0.66,0.79,0.87,15.11
abgT,0.97,0.66,0.76,0.88,0.72,0.73,0.66,0.97,0.96,17.86
abrB,0.94,0.55,0.66,0.73,0.7,0.62,0.68,0.05,0.46,12.91
aceA,0.87,0.59,0.39,0.43,0.48,0.61,0.67,0.49,0.33,21.31
aceB,0.98,0.7,0.64,0.94,0.67,0.76,0.67,0.78,0.81,24.36
aceE,0.6,0.2,0.55,0.71,0.31,0.34,0.55,0.45,0.56,43.55
aceF,0.59,0.2,0.4,0.58,0.31,0.35,0.53,0.44,0.33,22.96
aceK,0.94,0.67,0.81,0.84,0.66,0.71,0.65,0.67,0.82,27.81
ackA,0.62,0.24,0.52,0.52,0.44,0.5,0.47,0.45,0.59,17.3
acnA,0.57,0.57,0.6,0.26,0.6,0.7,0.65,0.24,0.39,39.6
acnB,0.81,0.51,0.65,0.65,0.63,0.66,0.6,0.27,0.47,35.99
acpT,1.03,0.66,0.69,0.85,0.73,0.75,0.63,0.69,0.64,9.39
acrA,1.01,0.61,0.01,0.03,0.59,0.3,0.29,0,0.07,17.65
acrB,0.9,0.01,0.01,0.03,0.56,0.26,0.39,0.01,0.12,41.7
acrD,0.94,0.54,0.7,0.45,0.68,0.63,0.65,0.33,0.46,43.3
acrE,0.98,0.54,0.69,0.51,0.71,0.6,0.63,0.18,0.23,16.79
acrF,1.01,0.58,0.66,0.7,0.68,0.66,0.64,0.42,0.54,40.92
acrR,0.88,0.38,0.36,0.23,0.64,0.57,0.65,0.13,0.21,11.27
acs,0.93,0.56,0.58,0.52,0.67,0.64,0.62,0.25,0.37,30.86
actP,0.88,0.61,0.67,0.71,0.69,0.65,0.65,0.59,0.76,20.79
ada,0.91,0.57,0.61,0.71,0.73,0.61,0.67,0.47,0.52,16.28
add,0.84,0.53,0.58,0.63,0.62,0.62,0.58,0.67,0.74,13.28
ade,0.94,0.64,0.63,0.76,0.72,0.69,0.59,0.51,0.43,23.66
adhE,0.96,0.63,0.69,0.94,0.77,0.69,0.66,0.63,0.83,37.38
adhP,0.94,0.55,0.72,0.52,0.71,0.66,0.65,0.11,0.48,13.37
adiA,0.96,0.62,0.74,0.8,0.71,0.68,0.64,0.76,0.77,34.61
adiC,0.91,0.61,0.49,0.56,0.66,0.61,0.64,0.36,0.42,17.54
adiY,0.9,0.6,0.57,0.71,0.69,0.67,0.66,0.45,0.57,12.32
aegA,0.89,0.48,0.36,0.45,0.55,0.6,0.57,0.36,0.41,27.21
aer,0.87,0.61,0.72,0.79,0.68,0.62,0.68,0.78,0.75,21.32
aes,0.98,0.55,0.65,0.49,0.7,0.6,0.66,0.41,0.52,16.39
